SBID,Name,Downstream_ID,Profile,ReachLength,Gauged,Area,Elevation,AvgLatit,AvgLongit,AvgSlope,AvgAspect,DomLU,DomLUArea,DomLUFrac,DomVeg,DomVegArea,DomVegFrac,TotalUpstreamArea,k,c,seg_slope,Q,W,d,zch,sidwd,botwd,Ach,Pch,Rch,V,n
99999,sub99999,114343,Chn_99999,10.363651703,0,22.594834229617074,988.9,49.473055049496,-109.4780666530836,0.6789511728287382,92.77967934308845,Open,21.6762297444062,95.93,Open,21.6762297444062,95.93,276.3908984942783,0.00450718,0.985797,0.001,1.1501425709729347,7.508583245089644,0.2815718716908617,2,0.5631437433817233,6.3822957583261974,1.9556404002115448,7.641523449631428,0.25592284223192047,0.5881155711696905,0.025
113490,sub113490,113497,Chn_113490,32.5718340398,0,337.0679279673751,2221.8,48.66196615729738,-113.57865776642788,21.193343935337257,225.016723453845,Needleforest,203.23224301198516,60.29,Needleforest,203.23224301198516,60.29,337.0679279673751,0.00450718,0.985797,0.02888,1.3986890122570663,7.962489000217513,0.29859333750815675,2,0.5971866750163135,6.768115650184885,2.199230203038413,8.103465650778437,0.2713937835754447,0.6359902707432197,0.08
113492,sub113492,113494,Chn_113492,6.55882095711,0,17.112270941750456,2153.8,48.74108433000838,-113.68745590722855,26.58585246914005,64.57972146635119,Needleforest,7.42180086810264,43.37,Needleforest,7.42180086810264,43.37,17.112270941750456,0.00450718,0.985797,0.11504,0.07407913147029534,3.297928691437336,0.12367232592890011,2,0.24734465185780022,2.8032393877217356,0.3772728236163811,3.3563188431467967,0.11240672929114802,0.1963542742363562,0.08
113494,sub113494,113496,Chn_113494,4.35715872285,0,19.675223404105665,2028,48.77071649952953,-113.69457660734997,26.40980791211976,236.38719094276328,Open,8.404459789041326,42.72,Open,8.404459789041326,42.72,36.78749434585612,0.00450718,0.985797,0.00207,0.15753152266489584,4.135640099964836,0.15508650374868135,2,0.3101730074973627,3.5152940849701104,0.5932783165764139,4.208862014519766,0.14095931739499126,0.2655271872633927,0.04640933759234623
113496,sub113496,113501,Chn_113496,0.787595501456,1,1.832099657098274,1829.2,48.80363385246494,-113.66189941637184,21.2486649969206,159.18249049080887,Shrubgrass,0.849103274954703,46.35,Shrubgrass,0.849103274954703,46.35,80.40186106996417,0.00450718,0.985797,0.00344,0.3404948202317806,5.211534886418117,0.1954325582406794,2,0.3908651164813588,4.429804653455399,0.9421158255722479,5.3038056239410905,0.17763015698003493,0.36141503092251065,0.0512803299070504
113497,sub113497,113500,Chn_113497,10.897672419,0,111.33030212835699,1885.9,48.73890128399604,-113.42589497754182,12.435110458364495,112.08317734374062,Shrubgrass,82.78145424187863,74.36,Shrubgrass,82.78145424187863,74.36,448.3982300957321,0.00450718,0.985797,0.001,1.8531356459077413,8.663725015343692,0.3248896880753885,2,0.649779376150777,7.364166263042138,2.603648298970506,8.817117118492682,0.2952947390831085,0.7117457632970164,0.025
113498,sub113498,113496,Chn_113498,8.93320155844,0,41.782267067009776,2119.6,48.80512026099531,-113.72124660737467,27.340140823236993,190.1125863167767,Shrubgrass,18.20108486760133,43.56,Shrubgrass,18.20108486760133,43.56,41.782267067009776,0.00450718,0.985797,0.06972,0.1785969154192657,4.2943227581530214,0.16103710343073832,2,0.32207420686147664,3.6501743444300683,0.639679400806937,4.370354164771659,0.1463678632645459,0.279197540508528,0.08
113500,sub113500,113510,Chn_113500,0.526253553459,1,0.803199870606201,1366.3,48.83088552999711,-113.41925623806968,2.8789111203040543,97.71030106996433,LeafForest,0.50822538409246,63.28,LeafForest,0.50822538409246,63.28,710.7598628485415,0.00450718,0.985797,0.00418,2.918265340277056,9.928186564576349,0.3723069961716131,2,0.7446139923432262,8.438958579889896,3.4191083184921283,10.103966083766858,0.3383926955163978,0.8535164927340031,0.03678382405519541
113501,sub113501,113503,Chn_113501,12.4051351837,0,85.27728557021213,2024.3,48.801104337506224,-113.60295892889383,18.419062115551238,199.24271975359392,Needleforest,54.4972052778093,63.91,Needleforest,54.4972052778093,63.91,165.6791466401763,0.00450718,0.985797,0.0025,0.6944684018799526,6.453989336383994,0.24202460011439977,2,0.48404920022879955,5.485890935926395,1.4448723741598666,6.5682578520923975,0.21997802258929056,0.4806434217304191,0.03790820298341156
113503,sub113503,113506,Chn_113503,0.744627454864,0,1.975001051831923,1601.6,48.82255621563503,-113.51383604779855,9.515317993427924,169.62290720843814,Needleforest,1.975001051831923,100,Needleforest,1.975001051831923,100,167.65414769200822,0.00450718,0.985797,0.01655,0.7026286402555116,6.476647355087152,0.2428742758157682,2,0.4857485516315364,5.505150251824079,1.4550352083748348,6.591317033244261,0.22075029937661234,0.4828945967845652,0.08
113506,sub113506,113500,Chn_113506,9.21099584859,0,93.90428519019495,1975.4,48.790319632798465,-113.52026173060189,14.52107245563093,251.52292562619766,Needleforest,78.389875687485,83.48,Needleforest,78.389875687485,83.48,261.5584328822032,0.00450718,0.985797,0.00858,1.0892734055790074,7.387092999582457,0.27701598748434214,2,0.5540319749686843,6.2790290496450885,1.892867147274155,7.517882207383528,0.2517819639971368,0.5754621538799636,0.06418151360986651
113510,sub113510,113513,Chn_113510,8.61822306399,0,87.55655823853165,1521.6,48.864459540314044,-113.38430046778059,4.017964606549311,116.3001111581923,LeafForest,57.9090042740261,66.14,LeafForest,57.9090042740261,66.14,798.3164210870731,0.00450718,0.985797,0.00383,3.272354705790605,10.275207674477855,0.38532028779291955,2,0.7706405755858391,8.733926523306177,3.662302529892186,10.457131236535679,0.35022057647097704,0.8935238634933143,0.03441287869325116
113512,sub113512,113513,Chn_113512,32.3304018762,0,159.19063015222991,2001.8,48.88718628752972,-113.57200071961955,15.768190270251004,262.690075200231,Needleforest,103.419368467266,64.97,Needleforest,103.419368467266,64.97,159.19063015222991,0.00450718,0.985797,0.02291,0.6676495646213336,6.378184348208665,0.23918191305782496,2,0.4783638261156499,5.421456695977365,1.4111303591720228,6.491110729148847,0.2173942824353974,0.4731310330627961,0.08
113513,sub113513,113518,Chn_113513,7.29318052255,0,57.7561910849679,1414,48.932705591325764,-113.40632415679852,4.224379838522455,270.22944454187893,Shrubgrass,29.768485712052176,51.54,Shrubgrass,29.768485712052176,51.54,1015.263242324271,0.00450718,0.985797,0.00425,4.147449709064909,11.032319609977135,0.41371198537414255,2,0.8274239707482851,9.377471668480565,4.2218876354412975,11.227647913286528,0.37602600901344774,0.9823685676161753,0.03457259116172049
113515,sub113515,113527,Chn_113515,20.98595427,0,88.73488614995979,1396.5,48.96150511734578,-113.235936652764,4.3020056512632845,310.3730353522319,Shrubgrass,86.75586038367138,97.77,Shrubgrass,86.75586038367138,97.77,88.73488614995979,0.00450718,0.985797,0.00418,0.3752584792460364,5.365765029501785,0.20121618860631693,2,0.40243237721263386,4.560900275076517,0.9987028790789051,5.460766426870804,0.18288694315226264,0.3757458670712294,0.055439043561454855
113518,sub113518,113525,Chn_113518,13.3536476626,1,201.8053953391922,1464.3,49.01183513334529,-113.41918005312395,3.6246568581137644,280.8406062277561,Shrubgrass,162.07135062843292,80.31,Shrubgrass,162.07135062843292,80.31,1217.068637663463,0.00450718,0.985797,0.00389,4.959058641481414,11.639980951491685,0.4364992856809382,2,0.8729985713618764,9.893983808767931,4.699780117865909,11.846067958593288,0.3967375617203537,1.0551682242813605,0.031914543962195244
113523,sub113523,113538,Chn_113523,16.3757336115,0,94.76168516541199,1892.4,48.975873645071765,-113.59219091286775,7.389477880951964,304.10176812382736,Needleforest,52.41145989514703,55.31,Needleforest,52.41145989514703,55.31,94.76168516541199,0.00450718,0.985797,0.04257,0.40037187552316905,5.471061102945157,0.2051647913604434,2,0.4103295827208868,4.650401937503384,1.0382839264780321,5.567926777646409,0.1864758585990098,0.3856092397397236,0.08
113525,sub113525,113530,Chn_113525,16.7001017705,0,92.15828554757206,1237.8,49.043432246322396,-113.25321938389499,2.8828640450936938,295.58986250665987,Shrubgrass,92.15828554757206,100,Shrubgrass,92.15828554757206,100,1309.2269232110352,0.00450718,0.985797,0.00449,5.329038614265376,11.893978704320897,0.44602420141203364,2,0.8920484028240673,10.109881898672763,4.907127176715978,12.104562766607492,0.4053948309684616,1.0859793158716862,0.03379769544963124
113527,sub113527,113532,Chn_113527,36.7842659813,0,146.80461817264,1279.7,49.0457148718251,-113.11050494473102,2.09055640804842,26.4778759606946,Crops,146.80461817264,100,Crops,146.80461817264,100,235.53950432259978,0.00450718,0.985797,0.00246,0.9823771171889697,7.161697412311217,0.2685636529616707,2,0.5371273059233413,6.087442800464535,1.7791187470722112,7.288495969080452,0.24409957206804528,0.5521706287484232,0.03508371683824118
113530,sub113530,113545,Chn_113530,9.58302389491,0,25.3591889683425,1206.8,49.11663221603096,-113.2230173311826,2.2348444276188126,322.18438240394187,Shrubgrass,15.1561430183046,59.77,Shrubgrass,15.1561430183046,59.77,1334.5861121793778,0.00450718,0.985797,0.00355,5.430779950307707,11.961651859024908,0.4485619447134341,2,0.8971238894268682,10.167404080171172,4.963126183379082,12.173434081168654,0.4077014053952654,1.0942256452182784,0.02993887151585469
